id,usuario,mensaje,usuario_responde,fecha,likes,retweets
3746317213,MashiRafael,"¡Babahoyo tendrá su nuevo hospital! Salud y seguridad son derechos, no privilegios. Con trabajo, capacidad y amor por nuestra gente, seguimos construyendo el país que todos soñamos. ¡Vamos juntos a #RevivirEcuador! 🇪🇨",@LuisaGonzalezEc,2025-01-01T15:34:52.446093,199,264
2181241943,MashiRafael,¡RevivirEcuador empieza ahora! Gracias a todos por el apoyo. #LuisaPresidenta,@LuisaGonzalezEc,2025-01-06T19:03:22.088401,123,98
4163119785,MashiRafael,Nuestro compromiso es con cada ecuatoriano. Seguimos adelante con amor y esperanza. #CambioSeguro,@LuisaGonzalezEc,2025-01-18T13:34:16.271526,605,126
9963334018,MashiRafael,Nuestro compromiso es con cada ecuatoriano. Seguimos adelante con amor y esperanza. #CambioSeguro,@LuisaGonzalezEc,2025-01-11T22:50:57.988428,80,302
1127978094,MashiRafael,Nuestro compromiso es con cada ecuatoriano. Seguimos adelante con amor y esperanza. #CambioSeguro,@LuisaGonzalezEc,2025-01-06T16:12:26.601145,294,494
9703905715,MashiRafael,"¡Babahoyo tendrá su nuevo hospital! Salud y seguridad son derechos, no privilegios. Con trabajo, capacidad y amor por nuestra gente, seguimos construyendo el país que todos soñamos. ¡Vamos juntos a #RevivirEcuador! 🇪🇨",@LuisaGonzalezEc,2025-01-06T03:52:19.760837,423,306
7635473142,MashiRafael,¡RevivirEcuador empieza ahora! Gracias a todos por el apoyo. #LuisaPresidenta,@LuisaGonzalezEc,2025-01-06T17:19:49.457591,57,55
7825844140,MashiRafael,¡RevivirEcuador empieza ahora! Gracias a todos por el apoyo. #LuisaPresidenta,@LuisaGonzalezEc,2025-01-22T00:15:36.396396,647,185
4460967357,MashiRafael,Nuestro compromiso es con cada ecuatoriano. Seguimos adelante con amor y esperanza. #CambioSeguro,@LuisaGonzalezEc,2025-01-19T02:55:40.259740,737,331
6756332150,MashiRafael,¡RevivirEcuador empieza ahora! Gracias a todos por el apoyo. #LuisaPresidenta,@LuisaGonzalezEc,2025-01-05T00:51:39.005051,853,277
2445662585,MashiRafael,¡RevivirEcuador empieza ahora! Gracias a todos por el apoyo. #LuisaPresidenta,@LuisaGonzalezEc,2025-01-03T09:46:44.163562,111,43
5710360983,MashiRafael,¡RevivirEcuador empieza ahora! Gracias a todos por el apoyo. #LuisaPresidenta,@LuisaGonzalezEc,2025-01-22T23:58:23.582721,825,221
7887950851,MashiRafael,¡RevivirEcuador empieza ahora! Gracias a todos por el apoyo. #LuisaPresidenta,@LuisaGonzalezEc,2025-01-21T22:49:33.213706,447,284
8429141456,MashiRafael,Nuestro compromiso es con cada ecuatoriano. Seguimos adelante con amor y esperanza. #CambioSeguro,@LuisaGonzalezEc,2025-01-14T22:03:36.436233,758,498
2625792787,MashiRafael,"¡Babahoyo tendrá su nuevo hospital! Salud y seguridad son derechos, no privilegios. Con trabajo, capacidad y amor por nuestra gente, seguimos construyendo el país que todos soñamos. ¡Vamos juntos a #RevivirEcuador! 🇪🇨",@LuisaGonzalezEc,2025-01-15T07:54:39.741097,566,182
8995970241,MashiRafael,¡RevivirEcuador empieza ahora! Gracias a todos por el apoyo. #LuisaPresidenta,@LuisaGonzalezEc,2025-01-15T23:40:46.708788,466,412
4026113008,MashiRafael,¡RevivirEcuador empieza ahora! Gracias a todos por el apoyo. #LuisaPresidenta,@LuisaGonzalezEc,2025-01-02T04:32:51.857429,726,183
5728765136,MashiRafael,¡RevivirEcuador empieza ahora! Gracias a todos por el apoyo. #LuisaPresidenta,@LuisaGonzalezEc,2025-01-08T05:10:20.572824,486,290
2566942273,MashiRafael,¡RevivirEcuador empieza ahora! Gracias a todos por el apoyo. #LuisaPresidenta,@LuisaGonzalezEc,2025-01-10T14:36:57.070925,224,430
3783290795,MashiRafael,Nuestro compromiso es con cada ecuatoriano. Seguimos adelante con amor y esperanza. #CambioSeguro,@LuisaGonzalezEc,2025-01-16T19:28:38.207732,876,291
4131575764,MashiRafael,¡RevivirEcuador empieza ahora! Gracias a todos por el apoyo. #LuisaPresidenta,@LuisaGonzalezEc,2025-01-05T05:47:48.165042,341,172
6924716023,MashiRafael,¡RevivirEcuador empieza ahora! Gracias a todos por el apoyo. #LuisaPresidenta,@LuisaGonzalezEc,2025-01-26T16:27:16.672743,870,492
3392080953,MashiRafael,Nuestro compromiso es con cada ecuatoriano. Seguimos adelante con amor y esperanza. #CambioSeguro,@LuisaGonzalezEc,2025-01-18T18:30:06.972965,274,162
4332894265,MashiRafael,Nuestro compromiso es con cada ecuatoriano. Seguimos adelante con amor y esperanza. #CambioSeguro,@LuisaGonzalezEc,2025-01-06T22:41:33.669580,676,295
6649827836,MashiRafael,¡RevivirEcuador empieza ahora! Gracias a todos por el apoyo. #LuisaPresidenta,@LuisaGonzalezEc,2025-01-07T22:47:51.298000,848,89
2351531223,MashiRafael,Nuestro compromiso es con cada ecuatoriano. Seguimos adelante con amor y esperanza. #CambioSeguro,@LuisaGonzalezEc,2025-01-18T00:19:33.924133,39,397
2970753705,MashiRafael,"¡Babahoyo tendrá su nuevo hospital! Salud y seguridad son derechos, no privilegios. Con trabajo, capacidad y amor por nuestra gente, seguimos construyendo el país que todos soñamos. ¡Vamos juntos a #RevivirEcuador! 🇪🇨",@LuisaGonzalezEc,2025-01-07T21:00:55.490451,501,222
7805745017,MashiRafael,"¡Babahoyo tendrá su nuevo hospital! Salud y seguridad son derechos, no privilegios. Con trabajo, capacidad y amor por nuestra gente, seguimos construyendo el país que todos soñamos. ¡Vamos juntos a #RevivirEcuador! 🇪🇨",@LuisaGonzalezEc,2025-01-24T07:19:37.009210,498,85
7010379415,MashiRafael,¡RevivirEcuador empieza ahora! Gracias a todos por el apoyo. #LuisaPresidenta,@LuisaGonzalezEc,2025-01-06T16:37:57.904147,333,206
5284391408,MashiRafael,¡RevivirEcuador empieza ahora! Gracias a todos por el apoyo. #LuisaPresidenta,@LuisaGonzalezEc,2025-01-14T05:25:31.433196,194,273
